EMPLOYEE_ID,FIRST_NAME,LAST_NAME,SALARY
198,Donald,OConnell,2600
199,Douglas,Grant,2600
200,Jennifer,Whalen,4400
201,Michael,Hartstein,13000
202,Pat,Fay,6000
203,Susan,Mavris,6500
204,Hermann,Baer,10000
205,Shelley,Higgins,12008
206,William,Gietz,8300
100,Steven,King,24000
101,Neena,Kochhar,17000
102,Lex,De Haan,17000
103,Alexander,Hunold,9000
104,Bruce,Ernst,6000
105,David,Austin,4800
106,Valli,Pataballa,4800
107,Diana,Lorentz,4200
108,Nancy,Greenberg,12008
109,Daniel,Faviet,9000
110,John,Chen,8200
